name,city,lat,long
Sarasota Kennel Club,Sarasota,27.380554,-82.54501
Palm Beach Kennel Club,Palm Beach,26.6925,-80.088472
Flagler Greyhound Track,Miami,25.776843,-80.256907
Jacksonville Kennel Club,Jacksonville,30.324819,-81.544187
Orange Park Kennel Club,Orange Park,30.184286,-81.701597
Pensacola Greyhound Track,Pensacola,30.396807,-87.37354
Daytona Beach Racing and Card Club,Daytona Beach,29.166713,-81.079995
Ebro Greyhound Park,Ebro,30.44585,-85.875335
Derby Lane Greyhound Track,St. Petersberg,27.864049,-82.63894
Naples-Fort Myers Track and Entertainment Center,Naples,26.326099,-81.776363
The Big Easy Casino,Hallandale Beach,25.994978,-80.146294
Melbourne Greyhound Park,Melbourne,28.124738,-80.677696
Sanford-Orlando Kennel Club,Longwood,28.684659,-81.3415
